No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
624,WISEA J133736.93+520918.1,13h37m36.9368s,+52d09m18.145s,204.4039035,52.1550404,G,20371.3681952591,0.06795157,SLS,7,0,51,8,5,8,0,0,0,1
625,WISEA J133149.78+513313.6,13h31m49.7832s,+51d33m13.640s,202.9574303,51.5537889,G,58855.4292341856,0.19632058,SLS,13,0,40,8,5,4,0,0,0,1
626,WISEA J120624.50+512115.4,12h06m24.5080s,+51d21m15.471s,181.602117,51.3542975,G,25745.4313087819,0.085877515,SLS,16,0,66,9,7,10,0,0,1,1
627,WISEA J125719.60+515515.1,12h57m19.5718s,+51d55m14.918s,194.3315495308,51.9208107953,G,6883.834420596,0.022962,SLS,1,0,31,4,1,4,0,0,0,0
628,WISEA J121318.10+520540.5,12h13m18.1157s,+52d05m40.493s,183.3254821228,52.0945815883,G,0.0,0.0,SLS,1,0,23,5,1,4,0,0,0,0
629,SDSS J121321.27+503828.9,12h13m21.2720s,+50d38m28.965s,183.3386336505,50.6413794153,G,0.0,0.0,SLS,1,0,11,4,1,4,0,0,0,0
630,WISEA J123924.89+504702.9,12h39m24.8996s,+50d47m02.904s,189.8537486,50.7841402,G,35980.134471219,0.12001681,SLS,7,0,51,6,4,8,0,0,0,1
631,WISEA J133555.77+541208.5,13h35m55.7713s,+54d12m08.519s,203.9823804,54.2023666,G,48350.9083626617,0.16128127,SLS,7,0,36,7,5,4,0,0,0,1
632,WISEA J121217.31+525814.9,12h12m17.3151s,+52d58m14.911s,183.0721464,52.9708086,G,9573.20720655816,0.031932782,SLS,16,0,52,8,6,8,0,0,0,1
633,WISEA J125922.42+515311.2,12h59m22.4246s,+51d53m11.219s,194.8434359,51.8864498,G,26616.174006156,0.088782,SLS,1,0,37,5,1,4,0,0,0,0
634,WISEA J131401.08+513225.4,13h14m01.0890s,+51d32m25.496s,198.5045378,51.5404156,G,59177.2084710554,0.19739392,SLS,12,0,50,7,4,6,0,0,1,1
635,WISEA J123327.32+505007.3,12h33m27.3231s,+50d50m07.372s,188.3638466,50.8353811,G,11619.056294706,0.038757,SLS,1,0,16,4,1,0,0,0,0,0
636,WISEA J124840.90+504801.6,12h48m40.9036s,+50d48m01.604s,192.1704318,50.8004458,G,48270.483039954,0.161013,SLS,1,0,16,4,1,0,0,0,0,0
637,WISEA J132629.31+504610.5,13h26m29.3179s,+50d46m10.519s,201.6221579,50.7695888,G,32734.33848902,0.10919,SLS,1,0,36,5,1,4,0,0,0,0
638,WISEA J121210.00+502820.9,12h12m10.0071s,+50d28m20.958s,183.0416965,50.4724884,G,24921.1204673028,0.08312791,SLS,14,0,46,8,4,4,0,0,0,1
639,WISEA J125625.85+505141.4,12h56m25.8565s,+50d51m41.498s,194.1077355,50.8615274,G,45029.726568974,0.150203,SLS,2,0,42,4,1,6,0,0,1,0
640,WISEA J130757.81+550908.3,13h07m57.8173s,+55d09m08.317s,196.9909056,55.1523103,G,51079.6253112268,0.17038329,SLS,16,0,62,8,6,10,0,0,1,1
641,WISEA J130842.31+555601.7,13h08m42.3391s,+55d56m01.788s,197.176413,55.93383,G,0.0,0.0,SLS,1,0,23,4,1,4,0,0,0,0
642,WISEA J123918.95+504224.1,12h39m18.9500s,+50d42m24.164s,189.8289584,50.7067123,G,44322.3033079068,0.14784329,SLS,14,0,63,6,4,10,0,0,1,1
643,WISEA J132042.14+515703.7,13h20m42.1449s,+51d57m03.745s,200.175604,51.9510405,G,25765.363010352,0.085944,SLS,1,0,12,4,2,0,0,0,0,0
644,WISEA J125818.46+512406.0,12h58m18.4675s,+51d24m06.053s,194.5769483,51.4016814,G,36372.919551766,0.121327,SLS,1,0,31,5,2,4,0,0,0,0
645,SDSS J130519.98+535011.4,13h05m19.9827s,+53d50m11.498s,196.3332616177,53.8365272453,G,8738.650358242,0.029149,SLS,1,0,15,2,1,4,0,0,0,0
